is_used,account,is_loggedin,is_agree,is_ended,issued_at
0,2001AS,0,0,0,
0,2002AX,0,0,0,
0,2003AE,0,0,0,
0,2004AK,0,0,0,
0,2005AP,0,0,0,
0,2006AC,0,0,0,
0,2007AH,0,0,0,
0,2008AL,0,0,0,
0,2009AF,0,0,0,
0,2010AQ,0,0,0,
0,2011AX,0,0,0,
0,2012AF,0,0,0,
0,2013AR,0,0,0,
0,2014AE,0,0,0,
0,2015AS,0,0,0,
0,2016AH,0,0,0,
0,2017AR,0,0,0,
0,2018AL,0,0,0,
0,2019AD,0,0,0,
0,2020AR,0,0,0,
0,2021AW,0,0,0,
0,2022AX,0,0,0,
0,2023AS,0,0,0,
0,2024AG,0,0,0,
0,2025AT,0,0,0,
0,2026AB,0,0,0,
0,2027AT,0,0,0,
0,2028AG,0,0,0,
0,2029AF,0,0,0,
0,2030AS,0,0,0,
0,2031AL,0,0,0,
0,2032AD,0,0,0,
0,2033AH,0,0,0,
0,2034AW,0,0,0,
0,2035AX,0,0,0,
0,2036AM,0,0,0,
0,2037AQ,0,0,0,
0,2038AT,0,0,0,
0,2039AX,0,0,0,
0,2040AN,0,0,0,
0,1001BM,0,0,0,
0,1002BK,0,0,0,
0,1003BH,0,0,0,
0,1004BE,0,0,0,
0,1005BP,0,0,0,
0,1006BC,0,0,0,
0,1007BH,0,0,0,
0,1008BD,0,0,0,
0,1009BH,0,0,0,
0,1010BA,0,0,0,
0,1011BN,0,0,0,
0,1012BT,0,0,0,
0,1013BA,0,0,0,
0,1014BD,0,0,0,
0,1015BV,0,0,0,
0,1016BE,0,0,0,
0,1017BC,0,0,0,
0,1018BL,0,0,0,
0,1019BY,0,0,0,
0,1020BK,0,0,0,
0,1021BT,0,0,0,
0,1022BV,0,0,0,
0,1023BQ,0,0,0,
0,1024BT,0,0,0,
0,1025BD,0,0,0,
0,1026BN,0,0,0,
0,1027BR,0,0,0,
0,1028BP,0,0,0,
0,1029BH,0,0,0,
0,1030BC,0,0,0,
0,1031BC,0,0,0,
0,1032BR,0,0,0,
0,1033BL,0,0,0,
0,1034BV,0,0,0,
0,1035BY,0,0,0,
0,1036BC,0,0,0,
0,1037BM,0,0,0,
0,1038BV,0,0,0,
0,1039BS,0,0,0,
0,1040BX,0,0,0,
0,1041BD,0,0,0,
0,1042BF,0,0,0,
0,1043BW,0,0,0,
0,1044BN,0,0,0,
0,1045BH,0,0,0,
0,1046BS,0,0,0,
0,1047BW,0,0,0,
0,1048BL,0,0,0,
0,1049BA,0,0,0,
0,1050BM,0,0,0,
0,1051BL,0,0,0,
0,1052BR,0,0,0,
0,1053BT,0,0,0,
0,1054BM,0,0,0,
