checkpoint_id,question,survey_order
1,あなたは高校生ですか、それとも同伴のご家族の方ですか。（回答必須）,1
1,あなたの学年をお答えください。同伴のご家族の方は，[同伴家族]をお選びください。（回答必須）,2
1,あなたの性別をお答えください。（回答必須）,3
1,大阪成蹊大学のオープンキャンパスに来られたのは、今日で何回目ですか。（回答必須）,4
2,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,5
2,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,6
3,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,7
3,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,8
4,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,9
4,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,10
5,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,11
5,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,12
6,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,13
6,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,14
7,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,15
7,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,16
8,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,17
8,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,18
9,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,19
9,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,20
10,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,21
10,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,22
11,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,23
11,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,24
12,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,25
12,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,26
13,このブースでは、お聞きになりたかったことを十分に聞けましたか。（回答必須）,27
13,よろしければ、どのようなことをお聞きになったか、簡単にご回答をお願いします。（回答任意）,28
14,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,29
15,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,30
16,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,31
17,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,32
18,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,33
19,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,34
20,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,35
21,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,36
22,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,37
23,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,38
24,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,39
25,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,40
26,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,41
27,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,42
28,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,43
29,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,44
30,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,45
31,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,46
32,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,47
33,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,48
34,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,49
35,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,50
36,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,51
37,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,52
38,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,53
39,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,54
40,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,55
41,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,56
42,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,57
43,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,58
44,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,59
45,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,60
46,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,61
47,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,62
48,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,63
49,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,64
50,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,65
51,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,66
52,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,67
53,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,68
54,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,69
55,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,70
56,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,71
57,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,72
58,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,73
59,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,74
60,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,75
61,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,76
62,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,77
63,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,78
64,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,79
65,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,80
66,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,81
67,参加されたプログラムの感想はいかがでしたか。以下からお選びください。（回答必須）,82
